종목,한글명,현재가,전일대비
KRW-BTC,비트코인,30939000.0,-0.0053687392
KRW-ETH,이더리움,2173000.0,-0.0095715588
KRW-NEO,네오,16010.0,-0.0475907198
KRW-MTL,메탈,1630.0,-0.0439882698
KRW-XRP,리플,500.0,-0.0099009901
KRW-ETC,이더리움클래식,27520.0,-0.0181947913
KRW-OMG,오미세고,2215.0,-0.0285087719
KRW-SNT,스테이터스네트워크토큰,38.7,-0.0325
KRW-WAVES,웨이브,3730.0,0.0507042254
KRW-XEM,넴,63.0,-0.0468986384
KRW-QTUM,퀀텀,4265.0,-0.0426487093
KRW-LSK,리스크,1510.0,-0.0320512821
KRW-STEEM,스팀,303.0,-0.0441640379
KRW-XLM,스텔라루멘,114.0,-0.0256410256
KRW-ARDR,아더,135.0,-0.0425531915
KRW-ARK,아크,500.0,-0.0384615385
KRW-STORJ,스토리지,558.0,-0.0428816467
KRW-GRS,그로스톨코인,569.0,-0.056384743
KRW-REP,어거,11530.0,-0.0463192721
KRW-ADA,에이다,465.0,-0.0210526316
KRW-SBD,스팀달러,3845.0,-0.0470879802
KRW-POWR,파워렛저,273.0,-0.0714285714
KRW-BTG,비트코인골드,22220.0,-0.0185512367
KRW-ICX,아이콘,335.0,-0.0428571429
KRW-EOS,이오스,1550.0,-0.0251572327
KRW-TRX,트론,92.1,0.0010869565
KRW-SC,시아코인,5.58,-0.0621848739
KRW-ONT,온톨로지,328.0,-0.0465116279
KRW-ZIL,질리카,40.7,-0.0378250591
KRW-POLYX,폴리매쉬,258.0,-0.0514705882
KRW-ZRX,제로엑스,366.0,-0.0780856423
KRW-LOOM,룸네트워크,76.2,-0.052238806
KRW-BCH,비트코인캐시,175000.0,-0.0132506343
KRW-BAT,베이직어텐션토큰,382.0,-0.0329113924
KRW-IOST,아이오에스티,16.0,0.0256410256
KRW-RFR,리퍼리움,8.87,-0.0369163952
KRW-CVC,시빅,164.0,-0.0574712644
KRW-IQ,아이큐,9.14,-0.0409233998
KRW-IOTA,아이오타,321.0,-0.0302114804
KRW-HIFI,하이파이,641.0,-0.0273141123
KRW-ONG,온톨로지가스,416.0,-0.0545454545
KRW-GAS,가스,4335.0,-0.0616883117
KRW-UPP,센티넬프로토콜,93.7,-0.063
KRW-ELF,엘프,383.0,0.0323450135
KRW-KNC,카이버네트워크,1080.0,-0.056768559
KRW-BSV,비트코인에스브이,55300.0,0.0056373886
KRW-THETA,쎄타토큰,1520.0,-0.0349206349
KRW-QKC,쿼크체인,15.0,-0.0445859873
KRW-BTT,비트토렌트,0.0009,0.0
KRW-MOC,모스코인,139.0,-0.0608108108
KRW-ENJ,엔진코인,610.0,-0.0348101266
KRW-TFUEL,쎄타퓨엘,75.5,-0.0538847118
KRW-MANA,디센트럴랜드,839.0,-0.032295271
KRW-ANKR,앵커,49.4,-0.0554493308
KRW-AERGO,아르고,180.0,-0.0425531915
KRW-ATOM,코스모스,16320.0,-0.0303030303
KRW-TT,썬더코어,6.64,-0.0473457676
KRW-CRE,캐리프로토콜,6.37,-0.0534918276
KRW-MBL,무비블록,5.02,-0.0214424951
KRW-WAXP,왁스,108.0,-0.0689655172
KRW-HBAR,헤데라,90.1,-0.0332618026
KRW-MED,메디블록,25.8,-0.0190114068
KRW-MLK,밀크,404.0,-0.0426540284
KRW-STPT,에스티피,64.0,-0.0108191654
KRW-ORBS,오브스,44.8,-0.0447761194
KRW-VET,비체인,35.6,-0.0378378378
KRW-CHZ,칠리즈,178.0,-0.0111111111
KRW-STMX,스톰엑스,8.82,-0.0464864865
KRW-DKA,디카르고,54.0,-0.0526315789
KRW-HIVE,하이브,581.0,-0.0412541254
KRW-KAVA,카바,2010.0,0.0923913043
KRW-AHT,아하토큰,11.9,-0.0555555556
KRW-LINK,체인링크,9670.0,-0.0247100353
KRW-XTZ,테조스,1515.0,-0.0441640379
KRW-BORA,보라,272.0,-0.0588235294
KRW-JST,저스트,38.2,-0.0329113924
KRW-CRO,크로노스,102.0,-0.0377358491
KRW-TON,톤,2430.0,-0.0544747082
KRW-SXP,솔라,420.0,-0.0277777778
KRW-HUNT,헌트,523.0,-0.059352518
KRW-PLA,플레이댑,335.0,-0.0536723164
KRW-DOT,폴카닷,8400.0,-0.023255814
KRW-SRM,세럼,606.0,-0.0486656201
KRW-MVL,엠블,6.0,-0.0476190476
KRW-STRAX,스트라티스,785.0,-0.0426829268
KRW-AQT,알파쿼크,1665.0,-0.0512820513
KRW-GLM,골렘,350.0,-0.0358126722
KRW-SSX,썸씽,27.8,-0.0511945392
KRW-META,메타디움,44.3,-0.0554371002
KRW-FCT2,피르마체인,85.6,-0.066521265
KRW-CBK,코박토큰,1050.0,-0.0277777778
KRW-SAND,샌드박스,908.0,-0.0226049516
KRW-HUM,휴먼스케이프,149.0,-0.0448717949
KRW-DOGE,도지코인,107.0,-0.0092592593
KRW-STRK,스트라이크,20270.0,-0.0388809862
KRW-PUNDIX,펀디엑스,655.0,-0.0642857143
KRW-FLOW,플로우,1515.0,-0.0380952381
KRW-DAWN,던프로토콜,1160.0,0.0265486726
KRW-AXS,엑시인피니티,12800.0,-0.0266159696
KRW-STX,스택스,1200.0,-0.0769230769
KRW-XEC,이캐시,0.0447,-0.0282608696
KRW-SOL,솔라나,29150.0,-0.0121992545
KRW-MATIC,폴리곤,1605.0,-0.0272727273
KRW-NU,누사이퍼,290.0,0.4356435644
KRW-AAVE,에이브,105950.0,-0.0302059497
KRW-1INCH,1인치네트워크,743.0,-0.0425257732
KRW-ALGO,알고랜드,320.0,-0.0332326284
KRW-NEAR,니어프로토콜,2975.0,-0.0261865794
KRW-AVAX,아발란체,22900.0,-0.0217855617
KRW-T,쓰레스홀드,63.9,0.1943925234
KRW-CELO,셀로,989.0,-0.0444444444
KRW-GMT,스테픈,567.0,-0.075040783
KRW-APT,앱토스,17090.0,-0.0366403608
KRW-SHIB,시바이누,0.0158,-0.024691358
